title,address,total_ratings,rating,type,type2,description,timing,phone
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Barbeque Nation,"R C Dutt Road 3rd Floor, Shreem Shalini Mall, Near Alkapuri Petrol Pump, Alkapuri, Vadodara 390007 India",669 reviews,4.5,"Indian, Barbecue, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, After-hours",12:30 pm - 3:30 pm and 7:30 pm - 11:30 pm,+91 265 606 0000
Sasumaa Gujarati Thali,"Gf 1/2 R C Dutt Road Near Ivory Terrace, Alkapuri, Vadodara 390020 India",218 reviews,4.0,₹260 – ₹260,Vegan Options,"Lunch, Dinner",,+91 95746 52652
,,,,,,,,
,,,,,,,,
Azure,"Opposite Parsi Agiary Surya Palace Hotel, Vadodara 390020 India","1,047 reviews",4.5,₹8 – ₹37,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",12:00 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 236 3366
Kansaar Gujarati Thali,"101 Unique Trade Centre Sayaji Ganj, Sayajigun, Vadodara 390007 India",94 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 10:15 pm,+91 82389 74764
Shree Jagdish Farshan,"Station Rd Galav Chamber, Basement, Near Sardar Pratima, Vadodara 390005 India",27 reviews,4.0,"Indian, Fast food","Delivery, Takeout","₹₹ - ₹₹₹ · Indian, Asian",,+91 98254 83000
,,,,,,,,
,,,,,,,,
,,,,,,,,
Vishal Sandwich,"55 Aradhana Society Road Vadiwadi, Vadodara 390007 India",52 reviews,4.5,"Indian, Fast food","Vegetarian Friendly, Vegan Options",Takeout,,+919601048966
,,,,,,,,
,,,,,,,,
,,,,,,,,
Tomato's The Diner,"Aditi Plaza, 1st Floor Beside IDBI Bank, Race Course Road, Vadiwadi, Vadodara 390007 India",170 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch",12:30 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 232 6606
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Havmor Restaurant,"56 Old Padra Road Diwalipura, Vadodara 390007 India",130 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 235 0202
,,,,,,,,
Mirch Masala,"S K Choudhari Marg, Vadodara 390007 India",156 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 0685
