title,address,total_ratings,rating,type,type2,description,timing,phone
,,,,,,,,
Blue Lagoon,"Akshar Chowk Old Padara Road, Vadodara 390007 India",49 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 234 1325
Sankalp Restaurant,"101 The Plaza Opposite Saffron Building, Fatehgunj, Vadodara 390002 India",23 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,2750440
Oak Leaf,"1st Floor Sama Savli Road Next to Ambe School, Near Sama Jakat Naka, Vadodara 390008 India",30 reviews,4.0,"Italian, Mexican, Chinese, Indian, Asian, Thai","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:30 pm and 7:00 pm - 11:00 pm,+91 90998 85500
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Khamma Ghani - The Royal Kitchens Of Rajasthan,"Jetalpur Road Capri House 2, 15, Sudha Nagar, Vadodara 390007 India",56 reviews,4.0,"Indian, Asian",Vegetarian Friendly,"Lunch, Dinner",11:30 am - 3:00 pm and 7:00 pm - 10:30 pm,+91 265 233 7809
,,,,,,,,
Manmohan,"Kothi Char Rasta, Vadodara 390001 India",8 reviews,3.5,Indian,"₹₹ - ₹₹₹ · Indian, Asian","₹₹ - ₹₹₹ · Indian, Asian",,+91 96388 25686
,,,,,,,,
,,,,,,,,
,,,,,,,,
Malayalee Kada,"18 Sainath Avenue Fathgunj Main Road, Fatehgunj, Vadodara 390002 India",5 reviews,4.5,Indian,"₹₹ - ₹₹₹ · Indian, Asian","₹₹ - ₹₹₹ · Indian, Asian",,+91 94278 68067
,,,,,,,,
,,,,,,,,
,,,,,,,,
Havmor,"Inox Road Cine Mall, Race Course, Vadodara 390007 India",16 reviews,4.5,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,"Inox Road Cine Mall, Race Course, Vadodara 390007 India"
,,,,,,,,
,,,,,,,,
Orizon Restaurant,"Akota-Mujmahuda Road Opposite Samrajya 2, Mujmahuda, Vadodara 390020 India",25 reviews,4.0,"Indian, Asian",Vegetarian Friendly,"Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+917984448061
Millennium Restaurant,"Abbas Tayabji Marg Race course Road, Vadodara 390020 India",20 reviews,4.0,"Chinese, Indian, Asian, Middle Eastern, Pakistani","Vegetarian Friendly, Halal","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,2788435
,,,,,,,,
Ustad Miyaan,"Alkapuri Shopping Centre, Vishwas Colony, Alkapuri, Vadodara India",35 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Halal",Dinner,,+91 90336 96632
Le Prive World Cuisine & Pizzeria,"17, Nutan Bharat Opp. Relience Fresh, Alkapuri, Vadodara 390005 India",19 reviews,4.5,"Italian, Indian, Pizza","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 70167 22508
Radhika Restaurant,"Kadak Bazar Sayajigunj, Near Railway Station, Vadodara 390005 India",15 reviews,4.5,Indian,Vegetarian Friendly,"Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 10:30 pm,+91 265 236 1019
,,,,,,,,
