title,address,total_ratings,rating,type,type2,description,timing,phone
Peshawri,"R C Dutt Road Alkapuri, Vadodara 390007 India",820 reviews,4.5,₹10 – ₹15,"Indian, Healthy","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",12:30 pm - 2:45 pm and 6:30 pm - 11:00 pm,+91 265 233 0033
Mandap,"R.C. Dutt Road, Vadodara 390007 India",480 reviews,4.0,₹3 – ₹3,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",12:30 pm - 2:45 pm and 7:30 pm - 10:45 pm,+91 92278 81135
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Barbeque Nation,"R C Dutt Road 3rd Floor, Shreem Shalini Mall, Near Alkapuri Petrol Pump, Alkapuri, Vadodara 390007 India",669 reviews,4.5,"Indian, Barbecue, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, After-hours",12:30 pm - 3:30 pm and 7:30 pm - 11:30 pm,+91 265 606 0000
Sasumaa Gujarati Thali,"Gf 1/2 R C Dutt Road Near Ivory Terrace, Alkapuri, Vadodara 390020 India",218 reviews,4.0,₹260 – ₹260,Vegan Options,"Lunch, Dinner",,+91 95746 52652
Mahakali Sev usal,"B H Prathamesh Plaza, Vadodara 390001 India",68 reviews,4.0,"Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch",,+91 81418 31216
Kai Asia,"Akota Garden, Akota The Gateway Hotel, Vadodara 390020 India",207 reviews,4.5,"₹₹₹₹ · Indian, Asian","₹₹₹₹ · Indian, International, Asian","₹₹₹₹ · Indian, Healthy",7:00 pm - 11:00 pm and 7:00 pm - 11:00 pm,+91 265 661 7676
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sankalp Restaurant,"Sama Savli Rd Spenta Complex, 101/102, 1st Floor, Race Course Rd, opp Axis bank,near Geb circle,Baroda, Vadodara 390007 India",105 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+91 98250 15640
Fiorella Italian Restaurant,"18/19, Alkapuri Society, Near Rbs Bank Lane Opposite C H Jewellers, Vadodara 390007 India",255 reviews,4.0,₹4 – ₹9,"Italian, Indian, Pizza, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 613 9000
Vishal Sandwich,"55 Aradhana Society Road Vadiwadi, Vadodara 390007 India",52 reviews,4.5,"Indian, Fast food","Vegetarian Friendly, Vegan Options",Takeout,,+919601048966
"Gazebo Restaurant, Vadodara","29-30 Sandhiya Bangalow,sevasi Gotari Road Vadodara Opposite FGI, Vadodara 390021 India",112 reviews,4.0,₹8 – ₹8,"Indian, Asian","Vegetarian Friendly, Vegan Options",7:30 pm - 12:00 am and 7:30 pm - 12:00 am,+91 87583 11311
,,,,,,,,
,,,,,,,,
,,,,,,,,
Havmor Restaurant,"Yash Kamal Building, Sayajiganj Rd Opposite M.S. University, Vadodara 390005 India",68 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 222 5555
Salsa Habanero Mexican Taqueria,"144/145 Villa D'este Next To Madhav Tower Rameshwar Mandir Road Subhanpura, Vadodara 390023 India",25 reviews,4.5,₹1 – ₹2,"Mexican, Latin, Spanish",Vegetarian Friendly,6:00 pm - 10:00 pm and 6:00 pm - 10:00 pm,+91 97140 39119
,,,,,,,,
Mirch Masala Restaurant,"Inorbit Mall, Astoriya Complex, 1st Floor, Near Seven Seas Mall, Vadodara 390016 India",97 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",12:00 pm - 3:30 pm and 7:00 pm - 11:00 pm,+912656582229
,,,,,,,,
,,,,,,,,
Shree Kathiyawadi Khadki,"Navrang Cinema Road Near Tower Four Ways, B/S Geb Sub Station, Raopura, Vadodara 390001 India",118 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,+917439375362
,,,,,,,,
Chung Faa,"R C Dutt Road Near Standard Chartered Bank, Jetalpur, Vadodara 390020 India",55 reviews,4.0,"Chinese, Asian, Szechuan, Shanghai, Hong Kong",Vegetarian Friendly,"Lunch, Dinner",10:00 am - 3:00 pm and 6:00 pm - 11:00 pm,+91 265 234 3436
Mirch Masala,"S K Choudhari Marg, Vadodara 390007 India",156 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 0685
